game_id,game_name,uuid,timestamp,angry,disgusted,fear,sad,surprised,happy,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,Card Flipper,6,1.60571E+12,0.076728587,0.196949187,0.016016213,0.14069033,0.027393493,0.069234616,0.666339976,0.06762516,129.509633,74.2207521,6.347629144,-1.57943717,9.656041612,-1.171069149,2.42616917,-1.061126422,1.490740481,1.399047952,0.016890603,3.624948278,0.078611061,-7.113430559,-1.679977819,0.783014211,0.441837812,-0.195414816,0.431322584,-0.664942587,0.570809804,-0.073038563
1,Card Flipper,6,1.60571E+12,0.033460525,0.063246361,0.009896397,0.15289198,0.127975541,0.170113682,0.669526202,0.013044142,131.1398524,70.99482925,4.795150768,-6.87517773,9.538292139,-2.497833898,0.746407941,-2.92992838,3.942385983,0.854867233,0.269454686,0.547561914,-0.195744794,-2.1961025,-1.590033562,-0.19350352,0.419011375,0.19360983,0.381911334,-0.603675459,0.098077849,-0.455952691
1,Card Flipper,6,1.60571E+12,0.035575678,0.059253727,0.009661924,0.147400447,0.139888858,0.150810161,0.677991624,-0.014044879,127.296533,68.91655106,3.732336102,-5.457315177,9.070443611,-2.739009022,0.139969285,-3.012913789,4.151348767,0.851679407,-0.005236371,-0.445460594,-0.299133474,-1.292606211,-1.788893486,-0.215014992,0.824803224,0.66150671,0.115296979,-0.58376648,0.078066418,-0.176799591
1,Card Flipper,6,1.60571E+12,0.059707007,0.074396894,0.012310803,0.113631146,0.127607434,0.096606258,0.702263839,-0.031324071,126.2718301,76.78184541,6.451752188,-7.165524515,6.707000953,-1.948959431,-0.776596943,-2.196110673,3.832888704,1.002861491,0.382982525,0.530206108,-0.072438229,0.829582359,-1.398240194,-0.574608522,0.619959772,-0.193953131,0.340715277,-0.841586154,0.158933942,-0.278779137
1,Card Flipper,6,1.60571E+12,0.080478575,0.131547707,0.015024891,0.090974603,0.039467416,0.068107477,0.689033345,-0.058608811,128.7905833,80.95997452,7.098221978,-2.694959108,7.420984638,-0.22154304,1.319645003,-1.36578222,2.617075765,-0.868374855,0.03425579,2.530826859,-0.150090303,6.764668102,-1.836056586,0.068942959,0.497019844,0.997051005,0.692327236,-0.650230415,0.004510071,-0.343937179
1,Card Flipper,6,1.60571E+12,0.087424436,0.1338308,0.014075195,0.125521586,0.037154034,0.050896917,0.683996577,-0.024407545,128.0578047,78.00893771,3.288159239,-2.564161464,7.286494745,-0.221938222,0.780997644,-1.315092683,2.681360262,-0.703237823,-0.061763631,1.846584898,-0.230888732,7.113430559,-1.653706368,-0.106636519,0.534185762,0.629017142,0.586666573,-0.772835851,-0.195411601,-0.180974945
1,Card Flipper,6,1.60571E+12,0.040411355,0.042553425,0.015650764,0.093026712,0.232481044,0.122620938,0.705872107,0.008953125,131.9205608,73.68828082,9.641767335,-6.794166726,5.918381188,-1.843098707,0.164418081,-2.679566838,4.232023515,0.289869457,-0.023229985,0.011320096,0.154591474,-0.978010541,-1.41865843,0.185769934,0.437926248,0.307091278,0.229915466,-0.477139768,0.102640191,-0.586480187
1,Card Flipper,6,1.60571E+12,0.066247036,0.116898588,0.014194188,0.252551507,0.044864927,0.082284578,0.690213198,-0.075589371,125.4350501,83.23514231,3.496409545,-3.278886036,6.859079522,0.264118633,1.49836223,-1.140418315,2.229118692,-1.010050903,0.117478655,2.093718502,-0.201430556,7.113430559,-1.537908545,-0.407673653,0.353737922,0.640484361,0.840124116,-0.62957523,-0.096334855,-0.175693193
1,Card Flipper,6,1.60571E+12,0.080887898,0.127799815,0.011763257,0.105770998,0.040538459,0.059759031,0.678064402,-0.079431289,123.3584568,83.39655087,2.933804182,-3.177149127,7.840426858,-0.249480314,1.803077904,-1.366274848,3.053844802,-0.446200222,-0.019054297,2.56838643,0.015163051,7.113430559,-1.84665295,-0.21438028,0.472587728,0.714555,0.811745831,-0.662267459,-0.031435582,-0.268642877
1,Card Flipper,6,1.60571E+12,0.032840165,0.040865246,0.04999049,0.470668278,0.095045735,0.056722255,0.611884258,0.011615677,119.4292709,87.85092511,-15.9287075,-0.635093354,4.790960171,2.271323588,4.601108027,1.407302049,-0.68969683,0.308045324,0.952865586,-0.203303439,0.611577509,-5.419924091,-0.744743475,-0.361059946,0.134598294,-0.063862015,0.664215298,-0.296270257,0.377751795,0.090325016
