,Unnamed: 0,Papel,Unnamed: 0.1,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor,Cat_Cluster
41,41,BMEB4,41,0.012690544128417969,0.10443401336669922,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.035419464111328125,0.01639413833618164,Intermediários Financeiros,Bancos,A
42,42,BMIN3,42,0.108001708984375,0.5485305786132812,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.098793029785156,1.2431869506835938,Intermediários Financeiros,Bancos,A
43,43,BMIN4,43,0.08691787719726562,0.3206520080566406,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4333953857421875,0.10322189331054688,Intermediários Financeiros,Bancos,A
44,44,BMKS3,44,1.017547607421875,2.6663818359375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.996978759765625,2.511199951171875,Viagens e Lazer,Bicicletas,R
45,45,BNBR3,45,0.06000518798828125,0.021221160888671875,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05825614929199219,0.000423431396484375,Intermediários Financeiros,Bancos,A
46,46,BOBR4,46,0.0001807212829589844,0.01615428924560547,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010818004608154295,0.030607223510742188,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,B
47,47,BPAN4,47,0.09526216983795166,0.2148970365524292,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.07284438610076904,0.03160810470581055,Intermediários Financeiros,Bancos,A
48,48,BPHA3,48,0.2449355125427246,0.04190349578857422,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0266408920288086,0.09934329986572266,Comércio e Distribuição,Medicamentos e Outros Produtos,E
49,49,BRAP3,49,0.13783645629882812,0.005183219909667969,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11014556884765624,0.009116172790527344,Mineração,Minerais Metálicos,E
50,50,BRAP4,50,0.053420066833496094,0.043853759765625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.118988037109375,0.05353832244873047,Mineração,Minerais Metálicos,E
51,51,BRFS3,0,0.1354980468749929,0.19838714599610088,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.13951873779297586,0.5831222534179616,Alimentos Processados,Carnes e Derivados,B
52,52,BRGE11,1,0.02229547500610352,0.012929916381835938,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005860805511474609,0.01702404022216797,Previdência e Seguros,Seguradoras,R
53,53,BRGE12,2,0.007424831390380859,0.001783609390258789,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0023725032806396484,0.008671045303344727,Previdência e Seguros,Seguradoras,R
54,54,BRGE3,3,0.02142024040222168,0.0008721351623535156,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0006711483001708982,0.008217811584472656,Previdência e Seguros,Seguradoras,R
55,55,BRGE5,4,0.0899655818939209,0.07332921028137207,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.015961885452270508,0.008522510528564453,Previdência e Seguros,Seguradoras,R
56,56,BRGE6,5,0.21570777893066406,0.11782550811767578,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0017547607421875,0.03955841064453125,Previdência e Seguros,Seguradoras,R
57,57,BRGE8,6,0.004279851913452149,0.00405430793762207,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.020318269729614258,0.005952119827270508,Previdência e Seguros,Seguradoras,R
58,58,BRIV3,7,0.0160655975341788,0.0005493164062491118,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.029715061187745032,0.015929698944092685,Intermediários Financeiros,Bancos,A
59,59,BRIV4,8,0.03350210189819247,0.06330490112304599,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.11982107162475494,0.12232589721679599,Intermediários Financeiros,Bancos,A
60,60,BRKM3,9,0.07300376892089844,0.01831531524658203,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.036866188049316406,0.02187633514404297,Químicos,Petroquímicos,R
61,61,BRKM5,10,372.37610721588135,350.2260522842407,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53.678067207336426,404.5557470321655,Químicos,Petroquímicos,R
62,62,BRKM6,11,27.92111301422119,27.39554214477539,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44.4895133972168,7.547637939453125,Químicos,Petroquímicos,B
63,63,BRML3,12,0.04402637481689453,0.030710220336914062,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05243206024169922,0.029859542846679688,Exploração de Imóveis,Exploração de Imóveis,B
64,64,BRPR3,13,0.022825241088867188,0.048226356506347656,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01726818084716797,0.022299766540527344,Exploração de Imóveis,Exploração de Imóveis,B
65,65,BRSR3,14,0.3167538642883301,0.19070911407470706,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1.0337600708007812,0.7943334579467773,Intermediários Financeiros,Bancos,A
66,66,BRSR5,15,0.04257678985595703,0.02024745941162109,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06914520263671875,0.007119178771972656,Intermediários Financeiros,Bancos,A
67,67,BRSR6,16,0.031116485595703125,0.041412353515625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.009111404418945312,0.06522369384765625,Intermediários Financeiros,Bancos,A
68,68,BSEV3,17,0.01503992080688521,0.0410077571868892,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.006030082702637164,0.021189451217650927,Alimentos Processados,Açucar e Alcool,D
69,69,BSLI3,18,0.4614827632904053,0.08007192611694336,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.4802803993225098,0.36422038078308105,Intermediários Financeiros,Bancos,A
70,70,BSLI4,19,0.05486464500427202,0.0634384155273433,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.01015114784240767,0.012636899948119671,Intermediários Financeiros,Bancos,A
71,71,BTOW3,20,0.15655899047851562,0.09803009033203124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04543590545654297,0.028352737426757806,Comércio,Produtos Diversos,B
72,72,BTTL3,21,0.4440240859985352,0.1525402069091797,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.04087638854980469,0.03163337707519531,Comércio,Material de Transporte,C
73,73,CARD3,22,0.03992414474487305,0.014412879943847656,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06875467300415039,0.01998996734619141,Serviços Diversos,Serviços Diversos,B
74,74,CASN3,23,0.0005559921264648439,0.002666950225830078,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.009297847747802734,0.00141143798828125,Água e Saneamento,Água e Saneamento,B
75,75,CBEE3,24,0.2853965759277344,0.12453460693359375,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13254165649414062,0.043277740478515625,Energia Elétrica,Energia Elétrica,B
76,76,CCPR3,25,0.28487491607666016,0.2469911575317383,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.20131778717041016,0.03954792022705078,Exploração de Imóveis,Exploração de Imóveis,B
77,77,CCRO3,26,0.02196788787841797,0.10542106628417967,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0757761001586914,0.06325149536132812,Transporte,Exploração de Rodovias,B
78,78,CEBR3,27,0.3006725311279297,0.007640838623046875,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09856224060058594,0.06839752197265625,Energia Elétrica,Energia Elétrica,B
79,79,CEBR5,28,0.2130165100097656,0.1410694122314453,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1901702880859375,0.03145599365234375,Energia Elétrica,Energia Elétrica,B
80,80,CEBR6,29,0.1351299285888672,0.0031890869140625,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.16580581665039062,0.030704498291015625,Energia Elétrica,Energia Elétrica,B
81,81,CEDO3,30,2095.6164455413823,5255.907461166382,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,187.79201316833496,214.8655300140381,"Tecidos, Vestuário e Calçados",Fios e Tecidos,B
82,82,CEDO4,31,0.0387578010559082,0.00693511962890625,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0.007023334503173828,0.03197050094604492,"Tecidos, Vestuário e Calçados",Fios e Tecidos,B
83,83,CEEB3,32,0.2460441589355433,0.05684089660644176,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10070610046386363,0.06525230407714487,Energia Elétrica,Energia Elétrica,B
84,84,CEEB5,33,1.0408935546875,1.0712013244628906,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03692054748535156,0.035221099853515625,Energia Elétrica,Energia Elétrica,B
